LotArea,BedroomAbvGr,KitchenAbvGr,SalePrice
8450,3,1,208500
9600,3,1,181500
11250,3,1,223500
9550,3,1,140000
14260,4,1,250000
14115,1,1,143000
10084,3,1,307000
10382,3,1,200000
6120,2,2,129900
7420,2,2,118000
11200,3,1,129500
11924,4,1,345000
12968,2,1,144000
10652,3,1,279500
10920,2,1,157000
6120,2,1,132000
11241,2,1,149000
10791,2,2,90000
13695,3,1,159000
7560,3,1,139000
14215,4,1,325300
7449,3,1,139400
9742,3,1,230000
4224,3,1,129900
8246,3,1,154000
14230,3,1,256300
7200,3,1,134800
11478,3,1,306000
16321,2,1,207500
6324,1,1,68500
8500,3,1,40000
8544,3,1,149350
11049,3,1,179900
10552,4,1,165500
7313,2,1,277500
13418,4,1,309000
10859,3,1,145000
8532,3,1,153000
7922,3,1,109000
6040,2,2,82000
8658,3,1,160000
16905,2,1,170000
9180,2,1,144000
9200,3,1,130250
7945,3,1,141000
7658,2,1,319900
12822,1,1,239686
11096,3,1,249700
4456,2,3,113000
7742,3,1,127000
13869,3,1,177000
6240,3,1,114500
8472,2,1,110000
50271,0,1,385000
7134,3,1,130000
10175,3,1,180500
2645,3,1,172500
11645,3,1,196500
13682,3,1,438780
7200,2,1,124900
13072,3,1,158000
7200,3,1,101000
6442,2,1,202500
10300,3,1,140000
9375,3,1,219500
9591,4,1,317000
19900,3,1,180000
10665,3,1,226000
4608,2,1,80000
15593,3,1,225000
13651,3,1,244000
7599,2,1,129500
10141,3,1,185000
10200,3,1,144900
5790,3,2,107400
1596,2,1,91000
8475,2,1,135750
8635,2,1,127000
10778,4,2,136500
10440,2,1,110000
13000,4,1,193500
4500,2,1,153500
10206,3,1,245000
8892,3,1,126500
8530,3,1,168500
16059,4,1,260000
11911,3,1,174000
3951,2,1,164500
8470,2,1,85000
8070,3,1,123600
7200,2,1,109900
8500,2,1,98600
13360,2,1,163500
7200,4,2,133900
9337,3,1,204750
9765,3,1,185000
10264,3,1,214000
10921,3,1,94750
10625,2,1,83000
9320,3,1,128950
10603,3,1,205000
9206,3,1,178000
7018,4,2,118964
10402,3,1,198900
7758,4,1,169500
9375,3,1,250000
10800,2,1,100000
6000,2,1,115000
8500,3,1,115000
11751,3,1,190000
9525,4,1,136900
7750,3,1,180000
9965,4,1,383970
21000,3,1,217000
7259,3,1,259500
3230,2,1,176000
11616,3,1,139000
8536,2,1,155000
12376,5,1,320000
8461,3,1,163990
21453,1,1,180000
6060,3,1,100000
9464,3,1,136000
7892,2,1,153900
17043,3,1,181000
6780,2,1,84500
4928,2,1,128000
4388,3,1,87000
7590,3,1,155000
8973,3,1,150000
14200,4,1,226000
12224,3,1,244000
7388,3,1,150750
6853,2,1,220000
10335,3,1,180000
10400,3,1,174000
10355,3,1,143000
11070,5,2,171000
9066,3,1,230000
15426,3,1,231500
10500,3,1,115000
11645,3,1,260000
8520,4,1,166000
10335,3,1,204000
9100,6,2,125000
2522,3,1,130000
6120,2,1,105000
9505,3,1,222500
7500,3,1,141000
6240,3,1,115000
10356,3,1,122000
13891,2,1,372402
